movement,V1-hi,V1-lo,V2-hi,V2-lo,VA-hi,VA-lo,VC-hi,VC-lo
001_0m1,E-6,G3,A-5,G3,E-5,E-3,E-4,E-2
001_0m2,B-5,G3,D5,G3,D5,C3,B-3,C2
001_0m3,A6,G3,G5,G3,E-5,D3,E-4,E-2
001_0m4,E-6,G3,C6,G3,E-5,E-3,D4,E-2
001_0m5,D6,G3,C6,G3,E-5,E-3,E-4,E-2
001_1m1,D6,A3,A5,A3,E-5,F3,E-4,F2
001_1m2,F6,B-3,G5,B-3,E-5,F3,E-4,E-2
001_1m3,G6,G3,E-5,G3,B-4,E-3,C4,E-2
001_1m4,C6,F4,F5,A3,E-5,F3,D4,F2
001_1m5,D6,A3,A-5,B-3,F5,F3,E-4,C2
001_2m1,E-6,G3,C6,G3,E-5,E-3,E-4,E-2
001_2m2,E-6,A3,G5,A3,E-5,E-3,E-4,E-2
001_2m3,F6,B-3,G5,G3,E-5,D3,E-4,F2
001_2m4,D6,G3,E-5,G3,E-5,C3,C4,C2
001_2m5,D6,G3,G5,G3,E-5,E-3,E-4,G2
001_3m1,A6,A3,B5,A3,D5,E3,B3,D2
001_3m2,D6,G3,A5,C#4,D5,D3,D4,D2
001_3m3,D6,A3,B5,A3,D5,D3,E4,D2
001_3m4,D6,C#4,B-5,G3,B-4,C#3,D4,D2
001_3m5,D6,G#3,G5,A3,E5,D3,E4,D2
001_4m1,G6,A3,B5,G3,E5,C3,E4,F#2
001_4m2,F#6,G3,A5,G3,D5,G3,D4,G2
001_4m3,G6,G3,C6,G3,E5,C3,E4,C2
001_4m4,D6,G3,G5,G3,D5,D3,D4,D2
001_4m5,F6,G3,G5,G3,D5,C3,D4,C2
001_6m1,D6,G3,A5,G3,E5,G3,F4,G2
001_6m2,E6,C4,B-5,G3,F5,F3,D4,F2
001_6m3,G6,A3,G5,G3,D5,D3,E4,D2
001_6m4,C6,G3,C5,G3,D5,C3,D4,C2
001_6m5,E6,G3,B5,B3,F5,E3,E4,G2
002_1m1,F#6,C#4,D6,A3,F#5,E3,E4,E2
002_1m2,E5,A3,E5,A3,B-4,G3,B3,E2
002_1m3,F#6,A3,A5,A3,E5,D3,E4,D2
002_1m4,E6,A3,C#6,A3,D5,D3,C#4,E2
002_1m5,E6,G#3,E6,G#3,E5,E3,F#4,E2
002_2m1,F#6,B3,B5,G#3,D#5,E3,F#4,E2
002_2m2,E6,A3,B5,A3,B4,E3,E4,E2
002_2m3,A6,G#3,A5,A3,C#5,C#3,F#4,D2
002_2m4,B5,G3,E5,G3,E5,E3,E4,E2
002_2m5,F#6,A#3,B5,A3,E5,F#3,E4,F#2
002_4m1,D6,G3,D6,A3,F5,D3,F4,F2
002_4m2,E6,G3,B-5,G3,D5,C3,D#4,C2
002_4m3,F6,G3,F5,G3,C5,C3,C4,C2
002_4m4,F6,G3,F5,G3,D5,C3,E-4,C2
002_4m5,G6,G3,E6,G3,C5,C3,C4,C2
002_6m1,F-6,B-3,B-5,G-3,D5,C3,B-3,F2
002_6m2,D6,B-3,B-5,A3,B-4,D3,B-3,E-2
002_6m3,E-6,B-3,D5,G3,B-4,E-3,E-3,G2
002_6m4,D6,E-3,F5,G3,D-5,C3,D4,F2
002_6m5,D6,B-3,D6,B-3,E-5,F3,D4,A2
009_1m1,E6,G3,D6,G3,E5,C3,E-4,C2
009_1m2,F6,G3,A5,G3,G4,C3,D4,C2
009_1m3,A6,B3,A5,A3,C5,C3,G4,C2
009_1m4,G6,G3,G5,G3,E5,C3,G4,C2
009_2m1,B-6,G3,A-5,G3,E-5,D3,E-4,C2
009_2m2,C6,G3,F5,G3,A-4,D3,E-4,E-2
009_2m3,A-6,G3,C6,G3,E-5,E-3,A-3,C2
009_2m4,D7,G3,B-5,G3,D5,D3,E-4,E-2
009_3m1,F#6,G3,A5,G3,B4,D3,D4,F#2
